id,followers,retweets,likes,es_quote,es_retweet,rts_comments
1280507307395350528,2593,8,0,0,1,0
1280228640865869824,86998,5,180,1,0,0
1281117802561187840,1685,0,0,1,0,0
1280846538986721280,1092,0,0,1,0,0
1280234201116299264,876,0,0,1,0,0
1280671971290816512,5395,1,5,1,0,0
1268784219318149120,343,11,0,0,1,0
1280229796501471232,452,0,2,1,0,0
1282891332181270528,862326,4,23,0,0,1
1280315069092564992,1064,1,0,1,0,0
5124091242390245376,291976,17,48,0,0,1
1280947960629641216,5003293,11,21,0,0,1
1281389963007926272,353717,188,625,0,0,7
1280637444661133312,879,8,0,0,1,0
1281241503260651520,257964,11,0,0,1,0
1281064090157408256,257964,11,13,0,0,2
1280668224858832896,270,0,0,1,0,0
1280382673349943296,1580,0,0,1,0,0
1280298061214945280,5136270,246,1429,0,0,204
1280903298502008832,2125,0,0,1,0,0
1281016626813550592,2618,0,1,1,0,0
1280866426874716160,1128,0,0,1,0,0
1280299860865015808,7081,2,4,1,0,0
1280664092244574208,1677,1,0,1,0,0
1280230303148019712,3480046,8,72,0,0,11
1280498503563849728,196219,10,22,0,0,2
1280766609653710848,1236,0,0,1,0,0
1282062547416428544,159,22,0,0,1,0
1280568384053293056,355,0,0,1,0,0
1280321057845645312,3415,0,1,1,0,0
1281613675841957888,51622,1,3,0,0,1
1280893119836368896,327480,1,6,0,0,1
2561285347110436864,747863,19,48,0,0,4
1281041309881507840,8698,0,0,1,0,0
1280684367610773504,3361,1,0,1,0,0
1280982574043717632,3055880,16,32,0,0,4
1280929816540327936,113,2,0,0,1,0
1280230706795380736,457,0,0,1,0,0
1280822973608398848,1031,0,0,1,0,0
1281007754883272704,944,0,0,1,0,1
1280542117945913344,603,0,1,1,0,0
1280676540389490688,155,47,0,0,1,0
1280314037310554112,1460,0,0,1,0,0
1280695694853111808,157,0,0,1,0,0
1280542869149962240,2848,1,0,1,0,0
1280850460346368000,996,0,1,1,0,0
1281030247257911296,1379,41,0,0,1,0
1280185247997493248,2409,28,0,0,1,0
1280346167365246976,1039,4,0,0,1,0
1281638023726342144,23,29,0,0,1,0
1281287154753327104,2707,0,2,1,0,0
1280299328863641600,2075,0,13,1,0,0
1281364537564893184,591,15,0,0,1,0
1281077496667136000,29,16,0,0,1,0
1280440791152852992,930,1,0,0,1,0
1281315359719555072,651,7,0,0,1,0
1281006593140764672,23476,1,0,1,0,0
1281337722280579072,1258697,15,40,0,0,3
1280635340420759552,2153,1,0,0,1,0
1280320811233087488,3662,0,2,1,0,0
1280866169654841344,1317,41,0,0,1,0
1280469035558338560,223,0,1,1,0,0
2562045584297771008,533794,13,22,0,0,2
1280298847445692416,693,0,1,1,0,0
1281353075643559936,750,116,0,0,1,0
1280509888645476352,14135,1,0,0,1,0
1280985068975140864,1563,16,0,0,1,0
1281627603510734848,1272,0,0,1,0,0
1280583756982611968,284907,2,4,0,0,0
1281006324168474624,2599,3,4,1,0,1
1281013537784111104,2599,0,1,1,0,0
1280184133277364224,232,28,0,0,1,0
1280861376685191168,554,41,0,0,1,0
1282072241316995072,156848,1,2,0,0,0
1281398430389219328,5673,2,0,0,1,0
1282163173215305728,3888,55,0,0,1,0
1280298435317583872,2685,0,0,1,0,0
1280601594820780032,2685,0,1,1,0,0
1280340911399014400,142054,25,54,0,0,3
1280481817917820928,126,25,0,0,1,0
1280321784382926848,4169,0,1,1,0,0
1281636688729526272,53342,1,1,0,0,0
1281006356733050880,192,0,0,1,0,0
1280291982309494784,76336,2,10,1,0,0
1280302844382453760,282,0,3,1,0,0
1280691085111689216,465,0,0,1,0,0
1280657976454455296,1851,77,0,0,1,0
1268729561707155456,610,11,0,0,1,0
1280918911920283648,199410,3,9,0,0,0
1280541162823192576,486,0,0,1,0,0
1280845288345948160,2501,41,0,0,1,0
1282359594019414016,2152,55,0,0,1,0
1280302108546404352,923,0,1,1,0,0
1281349880053747712,692360,12,15,0,0,1
1268638164434014208,6895,11,82,0,0,0
1268673220229632000,678,11,0,0,1,0
1280804136427061248,1120,0,1,1,0,0
1280324252055547904,131,0,0,1,0,0
1280580333080018944,5352,2,16,0,0,1
1281005479032913920,268,16,0,0,1,0
1281565589153210368,392,29,0,0,1,0
1281339415084900352,1162,0,1,1,0,0
1281070848967876608,282,138,0,0,1,0
1280900503329783808,42,66,0,0,1,0
1280321601595211776,736,0,7,1,0,0
1280512943927459840,80,246,0,0,1,0
1281338814049538048,381,0,0,1,0,0
2561124604415102976,61368,2,6,0,0,2
1280343325363625984,560,3,2,1,0,0
1280950256968953856,340,11,0,0,1,0
1280649853404659712,641,0,0,1,0,0
1280683602607517696,21635,12,0,0,1,0
1282298803517890560,232,55,0,0,1,0
1280342187650068480,46,0,0,1,0,0
1280327364355010560,187,11,0,0,1,0
1280924937809690624,5074,0,2,1,0,0
1280307665923641344,115,0,0,1,0,0
1281586758887636992,387,29,0,0,1,0
1281020157012426752,516,46,0,0,1,0
1280584607579111424,1387,2,0,0,1,0
1280307899005390848,406,0,0,1,0,0
1280952162969927680,661,11,0,0,1,0
1282466085992910848,255,55,0,0,1,0
1280900209682329600,480,1,1,1,0,0
1282077274272079872,142,1,0,0,1,0
1281587621702127616,271,29,0,0,1,0
1280939429876699136,1555,0,0,1,0,0
1281092195831943168,1069,116,0,0,1,0
1280185672322686976,2048,28,0,0,1,0
1281121516340408320,194,13,0,0,1,0
1280301613387825152,433,0,0,1,0,0
1281294637198696448,1782,3,0,0,1,0
1280510917390860288,687,0,0,1,0,0
1281099185278910464,2207,0,6,1,0,0
1280638849945927680,259,6,0,0,1,0
1281068457262546944,278,15,0,0,1,0
1281095446375608320,199,83,0,0,1,0
1280893519255801856,970,0,0,1,0,0
1280906220275224576,253,66,0,0,1,0
1281058161189949440,455,46,0,0,1,0
1280362713168912384,355,24,0,0,1,0
1281231030729551872,69,83,0,0,1,0
1280323555482308608,431,0,0,1,0,0
1280884455788498944,1464,0,0,1,0,0
1280916005141823488,1497,0,0,1,0,0
1280859450430099456,160,15,0,0,1,0
1281065108190437376,442,0,1,1,0,0
1281362174896742400,188,1,0,0,1,0
1280206266846138368,259,0,0,1,0,0
1280625282072883200,684,0,16,1,0,0
5124371103222616064,6757331,133,515,0,0,4
1281638681498079232,201,29,0,0,1,0
1281762425512001536,458,3,0,0,1,0
1280459312813481984,378,25,0,0,1,0
1281189113698361344,598,46,0,0,1,0
1280349538843348992,2554,25,0,0,1,0
1280669115502518272,182,2,3,1,0,0
1281177860917669888,15175,0,0,1,0,0
1281141290705485824,91,0,0,1,0,0
1280952150898728960,404,11,0,0,1,0
1280857443162116096,60,15,0,0,1,0
1280999611373625344,158,66,0,0,1,0
1281023095118213120,1509,0,1,1,0,0
1280523500789301248,715,2,0,0,1,0
1280523378215043072,715,2,2,0,0,0
1281581583556804608,532,29,0,0,1,0
1280312384268185600,393,0,0,1,0,0
1280664378199719936,208,77,0,0,1,0
1280673517806247936,18642,1,0,0,0,0
1280661790209314816,15330,41,108,0,0,23
1280947573633712128,3554,0,1,1,0,0
1281149968481427456,249,5,0,0,1,0
1280607869164011520,98562,3,0,0,0,0
1280299674008719360,6270,0,2,1,0,0
1280631041770881024,120,77,0,0,1,0
1282119339831963648,696,0,0,1,0,0
1268697507384696832,7228,11,0,0,1,0
1280607162713223168,1119,0,0,1,0,0
1281166627892080640,48,11,0,0,1,0
1281098596570537984,363,7,0,0,1,0
1281402201831813120,24,83,0,0,1,0
1280663021086552064,4298,2,14,1,0,1
7686149447973781504,42499348,43,102,0,0,3
1280642863815155712,7169,3,0,0,1,0
